-1: Logger is currently incomplete.  Delete this file if you see this line.
-1: Resolution 968.0 576.0
18.947: LeftPaddle 117.0 234.0
18.947: RightPaddle 9.9E-324 9.9E-324
19.059: LeftPaddle 117.0 351.0
19.059: RightPaddle 9.9E-324 9.9E-324
19.155: LeftPaddle 117.0 393.0
19.155: RightPaddle 9.9E-324 9.9E-324
19.257: LeftPaddle 117.0 342.0
19.257: RightPaddle 9.9E-324 9.9E-324
19.337: MeDeflect 18
19.337: Score increased to 12
19.359: LeftPaddle 117.0 225.0
19.359: RightPaddle 9.9E-324 9.9E-324
19.459: LeftPaddle 117.0 225.0
19.459: RightPaddle 9.9E-324 9.9E-324
19.559: LeftPaddle 117.0 225.0
19.559: RightPaddle 9.9E-324 9.9E-324
19.658: LeftPaddle 117.0 312.0
19.658: RightPaddle 9.9E-324 9.9E-324
19.658: MeSpawn 143.82018435831415 6 19 polygon
19.759: LeftPaddle 117.0 441.0
19.759: RightPaddle 9.9E-324 9.9E-324
19.857: LeftPaddle 117.0 444.0
19.857: RightPaddle 9.9E-324 9.9E-324
19.958: LeftPaddle 117.0 444.0
19.958: RightPaddle 9.9E-324 9.9E-324
20.058: LeftPaddle 117.0 444.0
20.058: RightPaddle 9.9E-324 9.9E-324
20.153: LeftPaddle 117.0 444.0
20.153: RightPaddle 9.9E-324 9.9E-324
20.249: LeftPaddle 117.0 444.0
20.249: RightPaddle 9.9E-324 9.9E-324
20.359: LeftPaddle 117.0 444.0
20.359: RightPaddle 9.9E-324 9.9E-324
20.457: LeftPaddle 117.0 444.0
20.457: RightPaddle 9.9E-324 9.9E-324
20.558: LeftPaddle 117.0 444.0
20.558: RightPaddle 9.9E-324 9.9E-324
20.658: LeftPaddle 117.0 444.0
20.658: RightPaddle 9.9E-324 9.9E-324
20.658: MeSpawn 672.5119948258847 4 20 square
20.753: LeftPaddle 117.0 444.0
20.753: RightPaddle 9.9E-324 9.9E-324
20.848: end
